WL_nm,Pan
450,0.0231
460,0.0060
470,0.0100
480,0.0276
490,0.1831
500,0.5798
510,0.8196
520,0.8469
530,0.8783
540,0.9223
550,0.9779
560,0.9479
570,0.8815
580,0.8456
590,0.8148
600,0.8442
610,0.8453
620,0.8421
630,0.7724
640,0.7194
650,0.6451
660,0.6173
670,0.5897
680,0.6104
690,0.6265
700,0.6079
710,0.5744
720,0.5198
730,0.4606
740,0.4035
750,0.3487
760,0.3278
770,0.2884
780,0.1978
790,0.0887
800,0.0265
810,0.0095
820,0.0052
830,0.0039
840,0.0022
850,0.0030
860,0.0017
870,0.0019
880,0.0017
890,0.0027
900,0.0019
