WL_nm,Pan
450,0.0009
460,0.0052
470,0.0048
480,0.0077
490,0.0974
500,0.4299
510,0.7393
520,0.8574
530,0.9062
540,0.9233
550,0.9576
560,0.9780
570,0.9458
580,0.9356
590,0.9288
600,0.9229
610,0.8506
620,0.8402
630,0.8019
640,0.7686
650,0.7796
660,0.7563
670,0.6939
680,0.6304
690,0.6481
700,0.6524
710,0.5993
720,0.5654
730,0.5566
740,0.5098
750,0.4603
760,0.4225
770,0.3823
780,0.3121
790,0.1878
800,0.0675
810,0.0140
820,0.0018
830,0.0024
840,0.0057
850,0.0033
860,0.0072
870,0.0052
880,0.0004
890,0.0025
900,0.0020
