nm,Band5_Blue,Band6_Green,Band7_Red,Band8_NIR
437,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0
439,0.0,0.0,0.0,0.0
440,0.0,0.0,0.0,0.0
441,0.0,0.0,0.0,0.0
442,0.0,0.0,0.0,0.0
443,0.125,0.0,0.0,0.0
444,0.25,0.0,0.0,0.0
445,0.375,0.0,0.0,0.0
446,0.5,0.0,0.0,0.0
447,0.625,0.0,0.0,0.0
448,0.75,0.0,0.0,0.0
449,0.875,0.0,0.0,0.0
450,1.0,0.0,0.0,0.0
451,1.0,0.0,0.0,0.0
452,1.0,0.0,0.0,0.0
453,1.0,0.0,0.0,0.0
454,1.0,0.0,0.0,0.0
455,1.0,0.0,0.0,0.0
456,1.0,0.0,0.0,0.0
457,1.0,0.0,0.0,0.0
458,1.0,0.0,0.0,0.0
459,1.0,0.0,0.0,0.0
460,1.0,0.0,0.0,0.0
461,1.0,0.0,0.0,0.0
462,1.0,0.0,0.0,0.0
463,1.0,0.0,0.0,0.0
464,1.0,0.0,0.0,0.0
465,1.0,0.0,0.0,0.0
466,1.0,0.0,0.0,0.0
467,1.0,0.0,0.0,0.0
468,1.0,0.0,0.0,0.0
469,1.0,0.0,0.0,0.0
470,1.0,0.0,0.0,0.0
471,1.0,0.0,0.0,0.0
472,1.0,0.0,0.0,0.0
473,1.0,0.0,0.0,0.0
474,1.0,0.0,0.0,0.0
475,1.0,0.0,0.0,0.0
476,1.0,0.0,0.0,0.0
477,1.0,0.0,0.0,0.0
478,1.0,0.0,0.0,0.0
479,1.0,0.0,0.0,0.0
480,1.0,0.0,0.0,0.0
481,1.0,0.0,0.0,0.0
482,1.0,0.0,0.0,0.0
483,1.0,0.0,0.0,0.0
484,1.0,0.0,0.0,0.0
485,1.0,0.0,0.0,0.0
486,1.0,0.0,0.0,0.0
487,1.0,0.0,0.0,0.0
488,1.0,0.0,0.0,0.0
489,1.0,0.0,0.0,0.0
490,1.0,0.0,0.0,0.0
491,1.0,0.0,0.0,0.0
492,1.0,0.0,0.0,0.0
493,1.0,0.0,0.0,0.0
494,1.0,0.0,0.0,0.0
495,1.0,0.0,0.0,0.0
496,1.0,0.0,0.0,0.0
497,1.0,0.0,0.0,0.0
498,1.0,0.0,0.0,0.0
499,1.0,0.0,0.0,0.0
