WL_nm,Panchromatic,Blue,Green,Red,NIR
440,0.0000,0.4125,0.0000,0.0000,0.0000
441,0.0000,0.5375,0.0000,0.0000,0.0000
442,0.0000,0.6625,0.0000,0.0000,0.0000
443,0.0000,0.7875,0.0000,0.0000,0.0000
444,0.0000,0.9125,0.0000,0.0000,0.0000
445,0.0000,1.0000,0.0000,0.0000,0.0000
446,0.0000,1.0000,0.0000,0.0000,0.0000
447,0.0000,1.0000,0.0000,0.0000,0.0000
448,0.0000,1.0000,0.0000,0.0000,0.0000
449,0.0000,1.0000,0.0000,0.0000,0.0000
450,0.0000,1.0000,0.0000,0.0000,0.0000
451,0.0000,1.0000,0.0000,0.0000,0.0000
452,0.0000,1.0000,0.0000,0.0000,0.0000
453,0.0000,1.0000,0.0000,0.0000,0.0000
454,0.0000,1.0000,0.0000,0.0000,0.0000
455,0.0000,1.0000,0.0000,0.0000,0.0000
456,0.0000,1.0000,0.0000,0.0000,0.0000
457,0.0000,1.0000,0.0000,0.0000,0.0000
458,0.0000,1.0000,0.0000,0.0000,0.0000
459,0.0000,1.0000,0.0000,0.0000,0.0000
460,0.0000,1.0000,0.0000,0.0000,0.0000
461,0.0000,1.0000,0.0000,0.0000,0.0000
462,0.0000,1.0000,0.0000,0.0000,0.0000
463,0.0000,1.0000,0.0000,0.0000,0.0000
464,0.0000,1.0000,0.0000,0.0000,0.0000
465,0.0000,1.0000,0.0000,0.0000,0.0000
466,0.0000,1.0000,0.0000,0.0000,0.0000
467,0.0000,1.0000,0.0000,0.0000,0.0000
468,0.0000,1.0000,0.0000,0.0000,0.0000
469,0.0000,1.0000,0.0000,0.0000,0.0000
470,0.0000,1.0000,0.0000,0.0000,0.0000
471,0.0000,1.0000,0.0000,0.0000,0.0000
472,0.0000,1.0000,0.0000,0.0000,0.0000
473,0.0000,1.0000,0.0000,0.0000,0.0000
474,0.0000,1.0000,0.0000,0.0000,0.0000
475,0.0000,1.0000,0.0000,0.0000,0.0000
476,0.0000,1.0000,0.0000,0.0000,0.0000
477,0.0000,1.0000,0.0000,0.0000,0.0000
478,0.0000,1.0000,0.0000,0.0000,0.0000
479,0.0000,1.0000,0.0000,0.0000,0.0000
480,0.0000,1.0000,0.0000,0.0000,0.0000
481,0.0000,1.0000,0.0000,0.0000,0.0000
482,0.0000,1.0000,0.0000,0.0000,0.0000
483,0.0000,1.0000,0.0000,0.0000,0.0000
484,0.0000,1.0000,0.0000,0.0000,0.0000
485,0.0000,1.0000,0.0000,0.0000,0.0000
486,0.0000,1.0000,0.0000,0.0000,0.0000
487,0.0000,1.0000,0.0000,0.0000,0.0000
488,0.0000,1.0000,0.0000,0.0000,0.0000
489,0.0000,1.0000,0.0000,0.0000,0.0000
490,0.0000,1.0000,0.0000,0.0000,0.0000
491,0.0000,1.0000,0.0000,0.0000,0.0000
492,0.0000,1.0000,0.0000,0.0000,0.0000
493,0.0000,1.0000,0.0000,0.0000,0.0000
494,0.0000,1.0000,0.0000,0.0000,0.0000
495,0.0000,1.0000,0.0000,0.0000,0.0000
496,0.0000,1.0000,0.0000,0.0000,0.0000
497,0.0000,1.0000,0.0000,0.0000,0.0000
498,0.0000,1.0000,0.0000,0.0000,0.0000
499,0.0000,1.0000,0.0750,0.0000,0.0000
500,0.0000,1.0000,0.2000,0.0000,0.0000
501,0.0000,1.0000,0.3250,0.0000,0.0000
502,0.0000,1.0000,0.4500,0.0000,0.0000
503,0.0000,1.0000,0.5750,0.0000,0.0000
504,0.0000,1.0000,0.7000,0.0000,0.0000
505,0.0000,1.0000,0.8250,0.0000,0.0000
506,0.0000,1.0000,0.9500,0.0000,0.0000
507,0.0000,1.0000,1.0000,0.0000,0.0000
508,0.0000,1.0000,1.0000,0.0000,0.0000
509,0.0000,1.0000,1.0000,0.0000,0.0000
510,0.0000,1.0000,1.0000,0.0000,0.0000
511,0.0000,1.0000,1.0000,0.0000,0.0000
512,0.0000,1.0000,1.0000,0.0000,0.0000
513,0.0000,1.0000,1.0000,0.0000,0.0000
514,0.0000,1.0000,1.0000,0.0000,0.0000
515,0.0000,1.0000,1.0000,0.0000,0.0000
516,0.0000,1.0000,1.0000,0.0000,0.0000
517,0.0000,0.8750,1.0000,0.0000,0.0000
518,0.0250,0.7500,1.0000,0.0000,0.0000
519,0.1500,0.6250,1.0000,0.0000,0.0000
520,0.2750,0.5000,1.0000,0.0000,0.0000
521,0.4000,0.3750,1.0000,0.0000,0.0000
522,0.5250,0.2500,1.0000,0.0000,0.0000
523,0.6500,0.1250,1.0000,0.0000,0.0000
524,0.7750,0.0000,1.0000,0.0000,0.0000
525,0.9000,0.0000,1.0000,0.0000,0.0000
526,1.0000,0.0000,1.0000,0.0000,0.0000
527,1.0000,0.0000,1.0000,0.0000,0.0000
528,1.0000,0.0000,1.0000,0.0000,0.0000
529,1.0000,0.0000,1.0000,0.0000,0.0000
530,1.0000,0.0000,1.0000,0.0000,0.0000
531,1.0000,0.0000,1.0000,0.0000,0.0000
532,1.0000,0.0000,1.0000,0.0000,0.0000
533,1.0000,0.0000,1.0000,0.0000,0.0000
534,1.0000,0.0000,1.0000,0.0000,0.0000
535,1.0000,0.0000,1.0000,0.0000,0.0000
536,1.0000,0.0000,1.0000,0.0000,0.0000
537,1.0000,0.0000,1.0000,0.0000,0.0000
538,1.0000,0.0000,1.0000,0.0000,0.0000
539,1.0000,0.0000,1.0000,0.0000,0.0000
540,1.0000,0.0000,1.0000,0.0000,0.0000
541,1.0000,0.0000,1.0000,0.0000,0.0000
542,1.0000,0.0000,1.0000,0.0000,0.0000
543,1.0000,0.0000,1.0000,0.0000,0.0000
544,1.0000,0.0000,1.0000,0.0000,0.0000
545,1.0000,0.0000,1.0000,0.0000,0.0000
546,1.0000,0.0000,1.0000,0.0000,0.0000
547,1.0000,0.0000,1.0000,0.0000,0.0000
548,1.0000,0.0000,1.0000,0.0000,0.0000
549,1.0000,0.0000,1.0000,0.0000,0.0000
550,1.0000,0.0000,1.0000,0.0000,0.0000
551,1.0000,0.0000,1.0000,0.0000,0.0000
552,1.0000,0.0000,1.0000,0.0000,0.0000
553,1.0000,0.0000,1.0000,0.0000,0.0000
554,1.0000,0.0000,1.0000,0.0000,0.0000
555,1.0000,0.0000,1.0000,0.0000,0.0000
556,1.0000,0.0000,1.0000,0.0000,0.0000
557,1.0000,0.0000,1.0000,0.0000,0.0000
558,1.0000,0.0000,1.0000,0.0000,0.0000
559,1.0000,0.0000,1.0000,0.0000,0.0000
560,1.0000,0.0000,1.0000,0.0000,0.0000
561,1.0000,0.0000,1.0000,0.0000,0.0000
562,1.0000,0.0000,1.0000,0.0000,0.0000
563,1.0000,0.0000,1.0000,0.0000,0.0000
564,1.0000,0.0000,1.0000,0.0000,0.0000
565,1.0000,0.0000,1.0000,0.0000,0.0000
566,1.0000,0.0000,1.0000,0.0000,0.0000
567,1.0000,0.0000,1.0000,0.0000,0.0000
568,1.0000,0.0000,1.0000,0.0000,0.0000
569,1.0000,0.0000,1.0000,0.0000,0.0000
570,1.0000,0.0000,1.0000,0.0000,0.0000
571,1.0000,0.0000,1.0000,0.0000,0.0000
572,1.0000,0.0000,1.0000,0.0000,0.0000
573,1.0000,0.0000,1.0000,0.0000,0.0000
574,1.0000,0.0000,1.0000,0.0000,0.0000
575,1.0000,0.0000,1.0000,0.0000,0.0000
576,1.0000,0.0000,1.0000,0.0000,0.0000
577,1.0000,0.0000,1.0000,0.0000,0.0000
578,1.0000,0.0000,1.0000,0.0000,0.0000
579,1.0000,0.0000,1.0000,0.0000,0.0000
580,1.0000,0.0000,1.0000,0.0000,0.0000
581,1.0000,0.0000,1.0000,0.0000,0.0000
582,1.0000,0.0000,1.0000,0.0000,0.0000
583,1.0000,0.0000,1.0000,0.0000,0.0000
584,1.0000,0.0000,1.0000,0.0000,0.0000
585,1.0000,0.0000,1.0000,0.0000,0.0000
586,1.0000,0.0000,1.0000,0.0000,0.0000
587,1.0000,0.0000,1.0000,0.0000,0.0000
588,1.0000,0.0000,1.0000,0.0000,0.0000
589,1.0000,0.0000,1.0000,0.0000,0.0000
590,1.0000,0.0000,1.0000,0.0000,0.0000
591,1.0000,0.0000,1.0000,0.0000,0.0000
592,1.0000,0.0000,1.0000,0.0000,0.0000
593,1.0000,0.0000,1.0000,0.0000,0.0000
594,1.0000,0.0000,1.0000,0.0000,0.0000
595,1.0000,0.0000,1.0000,0.0000,0.0000
596,1.0000,0.0000,0.8750,0.0000,0.0000
597,1.0000,0.0000,0.7500,0.0000,0.0000
598,1.0000,0.0000,0.6250,0.0000,0.0000
599,1.0000,0.0000,0.5000,0.0000,0.0000
600,1.0000,0.0000,0.3750,0.0000,0.0000
601,1.0000,0.0000,0.2500,0.0000,0.0000
602,1.0000,0.0000,0.1250,0.0000,0.0000
603,1.0000,0.0000,0.0000,0.0000,0.0000
604,1.0000,0.0000,0.0000,0.0000,0.0000
605,1.0000,0.0000,0.0000,0.0000,0.0000
606,1.0000,0.0000,0.0000,0.0000,0.0000
607,1.0000,0.0000,0.0000,0.0000,0.0000
608,1.0000,0.0000,0.0000,0.0000,0.0000
609,1.0000,0.0000,0.0000,0.0000,0.0000
610,1.0000,0.0000,0.0000,0.0000,0.0000
611,1.0000,0.0000,0.0000,0.0000,0.0000
612,1.0000,0.0000,0.0000,0.0000,0.0000
613,1.0000,0.0000,0.0000,0.0000,0.0000
614,1.0000,0.0000,0.0000,0.0000,0.0000
615,1.0000,0.0000,0.0000,0.0000,0.0000
616,1.0000,0.0000,0.0000,0.0000,0.0000
617,1.0000,0.0000,0.0000,0.0000,0.0000
618,1.0000,0.0000,0.0000,0.0000,0.0000
619,1.0000,0.0000,0.0000,0.0000,0.0000
620,1.0000,0.0000,0.0000,0.0000,0.0000
621,1.0000,0.0000,0.0000,0.0000,0.0000
622,1.0000,0.0000,0.0000,0.0000,0.0000
623,1.0000,0.0000,0.0000,0.0000,0.0000
624,1.0000,0.0000,0.0000,0.0125,0.0000
625,1.0000,0.0000,0.0000,0.1375,0.0000
626,1.0000,0.0000,0.0000,0.2625,0.0000
627,1.0000,0.0000,0.0000,0.3875,0.0000
628,1.0000,0.0000,0.0000,0.5125,0.0000
629,1.0000,0.0000,0.0000,0.6375,0.0000
630,1.0000,0.0000,0.0000,0.7625,0.0000
631,1.0000,0.0000,0.0000,0.8875,0.0000
632,1.0000,0.0000,0.0000,1.0000,0.0000
633,1.0000,0.0000,0.0000,1.0000,0.0000
634,1.0000,0.0000,0.0000,1.0000,0.0000
635,1.0000,0.0000,0.0000,1.0000,0.0000
636,1.0000,0.0000,0.0000,1.0000,0.0000
637,1.0000,0.0000,0.0000,1.0000,0.0000
638,1.0000,0.0000,0.0000,1.0000,0.0000
639,1.0000,0.0000,0.0000,1.0000,0.0000
640,1.0000,0.0000,0.0000,1.0000,0.0000
641,1.0000,0.0000,0.0000,1.0000,0.0000
642,1.0000,0.0000,0.0000,1.0000,0.0000
643,1.0000,0.0000,0.0000,1.0000,0.0000
644,1.0000,0.0000,0.0000,1.0000,0.0000
645,1.0000,0.0000,0.0000,1.0000,0.0000
646,1.0000,0.0000,0.0000,1.0000,0.0000
647,1.0000,0.0000,0.0000,1.0000,0.0000
648,1.0000,0.0000,0.0000,1.0000,0.0000
649,1.0000,0.0000,0.0000,1.0000,0.0000
650,1.0000,0.0000,0.0000,1.0000,0.0000
651,1.0000,0.0000,0.0000,1.0000,0.0000
652,1.0000,0.0000,0.0000,1.0000,0.0000
653,1.0000,0.0000,0.0000,1.0000,0.0000
654,1.0000,0.0000,0.0000,1.0000,0.0000
655,1.0000,0.0000,0.0000,1.0000,0.0000
656,1.0000,0.0000,0.0000,1.0000,0.0000
657,1.0000,0.0000,0.0000,1.0000,0.0000
658,1.0000,0.0000,0.0000,1.0000,0.0000
659,1.0000,0.0000,0.0000,1.0000,0.0000
660,1.0000,0.0000,0.0000,1.0000,0.0000
661,1.0000,0.0000,0.0000,1.0000,0.0000
662,1.0000,0.0000,0.0000,1.0000,0.0000
663,1.0000,0.0000,0.0000,1.0000,0.0000
664,1.0000,0.0000,0.0000,1.0000,0.0000
665,1.0000,0.0000,0.0000,1.0000,0.0000
666,1.0000,0.0000,0.0000,1.0000,0.0000
667,1.0000,0.0000,0.0000,1.0000,0.0000
668,1.0000,0.0000,0.0000,1.0000,0.0000
669,1.0000,0.0000,0.0000,1.0000,0.0000
670,1.0000,0.0000,0.0000,1.0000,0.0000
671,1.0000,0.0000,0.0000,1.0000,0.0000
672,1.0000,0.0000,0.0000,1.0000,0.0000
673,1.0000,0.0000,0.0000,1.0000,0.0000
674,1.0000,0.0000,0.0000,1.0000,0.0000
675,1.0000,0.0000,0.0000,1.0000,0.0000
676,1.0000,0.0000,0.0000,1.0000,0.0000
677,1.0000,0.0000,0.0000,1.0000,0.0000
678,1.0000,0.0000,0.0000,1.0000,0.0000
679,1.0000,0.0000,0.0000,1.0000,0.0000
680,1.0000,0.0000,0.0000,1.0000,0.0000
681,1.0000,0.0000,0.0000,1.0000,0.0000
682,1.0000,0.0000,0.0000,1.0000,0.0000
683,1.0000,0.0000,0.0000,1.0000,0.0000
684,1.0000,0.0000,0.0000,1.0000,0.0000
685,1.0000,0.0000,0.0000,1.0000,0.0000
686,1.0000,0.0000,0.0000,1.0000,0.0000
687,1.0000,0.0000,0.0000,1.0000,0.0000
