nm,Green,Red,NIR1,NIR2
462,0.0,0.0,0.0,0.0
463,0.003,0.0,0.0,0.0
464,0.005,0.0,0.0,0.0
465,0.005,0.0,0.0,0.0
466,0.005,0.0,0.0,0.0
467,0.006,0.0,0.0,0.0
468,0.007,0.0,0.0,0.0
469,0.008,0.0,0.0,0.0
470,0.009,0.0,0.0,0.0
471,0.01,0.0,0.0,0.0
472,0.012,0.0,0.0,0.0
473,0.017,0.0,0.0,0.0
474,0.021,0.0,0.0,0.0
475,0.023,0.0,0.0,0.0
476,0.025,0.0,0.0,0.0
477,0.028,0.0,0.0,0.0
478,0.032,0.0,0.0,0.0
479,0.037,0.0,0.0,0.0
480,0.05,0.0,0.0,0.0
481,0.063,0.0,0.0,0.0
482,0.084,0.0,0.0,0.0
483,0.11,0.0,0.0,0.0
484,0.133,0.0,0.0,0.0
485,0.157,0.0,0.0,0.0
486,0.177,0.0,0.0,0.0
487,0.195,0.0,0.0,0.0
488,0.218,0.0,0.0,0.0
489,0.249,0.0,0.0,0.0
490,0.293,0.0,0.0,0.0
491,0.336,0.0,0.0,0.0
492,0.383,0.0,0.0,0.0
493,0.434,0.0,0.0,0.0
494,0.464,0.0,0.0,0.0
495,0.516,0.0,0.0,0.0
496,0.549,0.0,0.0,0.0
497,0.606,0.0,0.0,0.0
498,0.649,0.0,0.0,0.0
499,0.689,0.0,0.0,0.0
500,0.712,0.0,0.0,0.0
501,0.734,0.0,0.0,0.0
502,0.756,0.0,0.0,0.0
503,0.775,0.0,0.0,0.0
504,0.792,0.0,0.0,0.0
505,0.808,0.0,0.0,0.0
506,0.83,0.0,0.0,0.0
507,0.848,0.0,0.0,0.0
508,0.865,0.0,0.0,0.0
509,0.882,0.0,0.0,0.0
510,0.893,0.0,0.0,0.0
511,0.901,0.0,0.0,0.0
512,0.906,0.0,0.0,0.0
513,0.909,0.0,0.0,0.0
514,0.914,0.0,0.0,0.0
515,0.92,0.0,0.0,0.0
516,0.924,0.0,0.0,0.0
517,0.929,0.0,0.0,0.0
518,0.931,0.0,0.0,0.0
519,0.936,0.0,0.0,0.0
