nm,Band 1,Band 2,Band 3,Band 4,Band 5,Band 6,Band 7,Band 8,Band 9,Band 10,Band 11,Band 12,Band 13,Band 14,Band 15,Band 16,Band 17,Band 18,Band 19
350,0.00026104,0.00029794,0.00031873,0.00040456,0.0,0.0,0.0,0.00013369,0.0001322,5.727e-05,2.763e-05,4.436e-05,6.115e-05,7.109e-05,3.608e-05,6.049e-05,0.00053647,0.00014411,0.00055119
360,0.00022113,0.00028368,0.00016435,0.00024358,0.0,0.0,0.0,6.521e-05,5.473e-05,2.197e-05,2.134e-05,1.846e-05,8.006e-05,5.47e-05,3.236e-05,3.996e-05,0.00025808,0.00015617,0.0004335
370,0.00015034,0.00030456,0.0001756,0.00012337,0.0,0.0,0.0,3.298e-05,2.659e-05,1.966e-05,2.287e-05,1.24e-05,3.473e-05,1.627e-05,1.082e-05,2.279e-05,0.00018791,7.028e-05,0.00029731
380,9.23e-05,0.00018372,0.0001195,0.00012406,0.0,0.0,0.0,4.653e-05,4.107e-05,1.978e-05,1.822e-05,1.086e-05,4.508e-05,2.371e-05,8.4e-06,3.662e-05,0.00014778,0.00013519,0.00020534
390,6.939e-05,0.00013888,0.00018155,0.00010361,0.0,0.0,0.0,0.00042198,2.971e-05,1.243e-05,1.185e-05,1.953e-05,7.66e-06,2.025e-05,1.025e-05,1.169e-05,8.906e-05,7.614e-05,0.00010011
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00032886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00058767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00086126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00181258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
398,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00337911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00725756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
400,0.0001037,0.0001652,0.0013973,9.958e-05,0.0,0.0,0.0,0.0161996,6.588e-05,0.00014414,1.16e-05,0.00012741,1.497e-05,1.559e-05,7.18e-06,1.771e-05,0.00014497,5.494e-05,0.00013975
402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0731352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.495634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.726977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.679636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
410,8.545e-05,9.253e-05,0.00012238,7.758e-05,0.0,0.0,0.0,0.805588,0.00016996,0.00153631,8.36e-06,4.943e-05,1.15e-05,1.246e-05,6.24e-06,2.518e-05,7.992e-05,7.519e-05,0.00013988
411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.746249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.531392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.441311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.932612,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.905185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.439771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
420,3.779e-05,7.107e-05,0.00042239,6.569e-05,0.0,0.0,0.0,0.210328,0.00061674,0.00375005,1.303e-05,7.177e-05,1.256e-05,1.372e-05,4.6e-06,1.62e-05,0.00010347,4.4e-05,0.00012823
421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0856633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0107264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00479769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00235889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00103616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022968,0.00031593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00022538,0.00045237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
430,3.019e-05,9.723e-05,0.0007991,0.00010804,0.0,0.0,0.0,0.00010032,0.00074453,0.00109174,6.56e-06,8.345e-05,1.132e-05,8.29e-06,3.17e-06,6.69e-06,7.353e-05,3.856e-05,0.00011747
431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00135374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00011024,0.00351132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00010428,0.0134802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0481175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.136758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.83e-05,0.293207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.482024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.628519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
439,0.0,0.0,0.00028808,0.0,0.0,0.0,0.0,0.0,0.810956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
