WL_nm,Blue,Green,Red,NIR
320,0.0000,0.0000,0.0000,0.0000
330,0.0000,0.0000,0.0000,0.0000
340,0.0000,0.0000,0.0000,0.0000
350,0.0000,0.0000,0.0000,0.0000
360,0.0000,0.0000,0.0000,0.0000
370,0.0000,0.0000,0.0000,0.0000
380,0.0000,0.0000,0.0000,0.0000
390,0.0000,0.0000,0.0000,0.0000
400,0.0000,0.0000,0.0000,0.0000
410,0.0270,0.0000,0.0000,0.0000
420,0.0000,0.0000,0.0000,0.0000
430,0.0000,0.0000,0.0000,0.0000
440,0.0540,0.0000,0.0000,0.0000
450,0.0810,0.0290,0.0000,0.0000
460,0.9460,0.2060,0.0740,0.0000
470,1.0000,0.3530,0.1110,0.0000
480,0.9460,0.4410,0.1480,0.0000
490,0.8650,0.4710,0.1110,0.0000
500,0.7570,0.5880,0.1480,0.0000
510,0.6220,0.7650,0.1480,0.0000
520,0.4320,0.9120,0.1110,0.0000
530,0.2700,0.9710,0.1110,0.0000
540,0.1890,1.0000,0.1110,0.0000
550,0.0810,0.9410,0.1110,0.0000
560,0.0270,0.8530,0.1110,0.0000
570,0.0270,0.7650,0.1110,0.0000
580,0.0000,0.6470,0.1850,0.0000
590,0.0000,0.5000,0.4810,0.0000
600,0.0000,0.3530,0.8520,0.0000
610,0.0000,0.1760,1.0000,0.0000
620,0.0000,0.1180,1.0000,0.0000
630,0.0000,0.0590,1.0000,0.1000
640,0.0000,0.0590,0.9260,0.0000
650,0.0000,0.0290,0.8890,0.0000
660,0.0270,0.0290,0.8520,0.0000
670,0.0270,0.0590,0.8150,0.0000
680,0.0270,0.0590,0.7040,0.0000
690,0.0270,0.0880,0.5190,0.1000
700,0.0000,0.0000,0.0370,0.0000
710,0.0000,0.0000,0.0000,0.0000
720,0.0000,0.0000,0.0000,0.0000
730,0.0000,0.0000,0.0000,0.0000
740,0.0000,0.0000,0.0000,0.0000
750,0.0000,0.0000,0.0000,0.0000
760,0.0000,0.0000,0.0000,0.0000
770,0.0000,0.0000,0.0000,0.4000
780,0.0000,0.0000,0.0000,0.9000
790,0.0000,0.0000,0.0000,1.0000
800,0.0000,0.0000,0.0000,0.9000
810,0.0000,0.0000,0.0000,0.8000
820,0.0000,0.0000,0.0000,0.8000
830,0.0000,0.0000,0.0000,0.7000
840,0.0000,0.0000,0.0000,0.7000
850,0.0000,0.0000,0.0000,0.6000
860,0.0000,0.0000,0.0000,0.5000
870,0.0000,0.0000,0.0000,0.3000
880,0.0000,0.0000,0.0000,0.1000
890,0.0000,0.0000,0.0000,0.0000
900,0.0000,0.0000,0.0000,0.0000
910,0.0000,0.0000,0.0000,0.0000
920,0.0000,0.0000,0.0000,0.0000
930,0.0000,0.0000,0.0000,0.0000
940,0.0000,0.0000,0.0000,0.0000
950,0.0000,0.0000,0.0000,0.0000
960,0.0000,0.0000,0.0000,0.0000
970,0.0000,0.0000,0.0000,0.0000
980,0.0000,0.0000,0.0000,0.0000
990,0.0000,0.0000,0.0000,0.0000
1000,0.0000,0.0000,0.0000,0.0000
