WL_nm,Blue,Green,Red,NIR
400,0.0130,0.0050,0.0040,0.0000
410,0.0200,0.0060,0.0040,0.0000
420,0.0070,0.0040,0.0010,0.0000
430,0.0120,0.0050,0.0020,0.0020
440,0.0390,0.0090,0.0020,0.0000
450,0.1750,0.0380,0.0080,0.0010
460,0.8750,0.1870,0.0270,0.0010
470,1.0000,0.2580,0.0290,0.0020
480,0.9970,0.3780,0.0310,0.0050
490,0.9450,0.5310,0.0300,0.0010
500,0.8360,0.6750,0.0270,0.0010
510,0.7050,0.8260,0.0320,0.0020
520,0.5250,0.9340,0.0480,0.0020
530,0.3660,0.9880,0.0620,0.0010
540,0.2850,1.0000,0.0420,0.0020
550,0.2080,0.9560,0.0220,0.0020
560,0.1350,0.8920,0.0230,0.0020
570,0.0900,0.8040,0.0660,0.0030
580,0.0740,0.6870,0.3840,0.0040
590,0.0650,0.5380,0.8640,0.0060
600,0.0560,0.3760,0.9800,0.0020
610,0.0500,0.2410,1.0000,0.0020
620,0.0510,0.1630,0.9860,0.0050
630,0.0560,0.1390,0.9780,0.0040
640,0.0720,0.1210,0.9440,0.0020
650,0.0920,0.1070,0.9100,0.0030
660,0.1170,0.1060,0.8800,0.0030
670,0.1300,0.1220,0.8330,0.0140
680,0.1160,0.1500,0.7960,0.0070
690,0.0990,0.1330,0.5510,0.0590
700,0.0130,0.0260,0.0880,0.0140
710,0.0000,0.0020,0.0070,0.0020
720,0.0000,0.0000,0.0010,0.0070
730,0.0000,0.0000,0.0000,0.0010
740,0.0000,0.0000,0.0000,0.0010
750,0.0000,0.0000,0.0000,0.0040
760,0.0000,0.0000,0.0000,0.1390
770,0.0000,0.0000,0.0000,0.8220
780,0.0000,0.0000,0.0000,1.0000
790,0.0000,0.0000,0.0000,0.9600
800,0.0010,0.0010,0.0020,0.9180
810,0.0060,0.0060,0.0090,0.8490
820,0.0060,0.0050,0.0060,0.8000
830,0.0040,0.0030,0.0040,0.7610
840,0.0040,0.0040,0.0050,0.7020
850,0.0070,0.0070,0.0070,0.6520
860,0.0130,0.0110,0.0120,0.6090
870,0.0150,0.0130,0.0150,0.5220
880,0.0130,0.0110,0.0120,0.1330
890,0.0090,0.0080,0.0090,0.0080
900,0.0060,0.0060,0.0060,0.0000
910,0.0050,0.0050,0.0050,0.0000
920,0.0050,0.0040,0.0050,0.0000
930,0.0050,0.0040,0.0050,0.0000
940,0.0050,0.0050,0.0050,0.0000
950,0.0050,0.0050,0.0050,0.0000
960,0.0050,0.0040,0.0050,0.0000
970,0.0040,0.0030,0.0040,0.0000
980,0.0030,0.0030,0.0030,0.0000
990,0.0020,0.0020,0.0020,0.0000
930,0.0000,0.0000,0.0000,0.0000
940,0.0000,0.0000,0.0000,0.0000
950,0.0000,0.0000,0.0000,0.0000
960,0.0000,0.0000,0.0000,0.0000
970,0.0000,0.0000,0.0000,0.0000
980,0.0000,0.0000,0.0000,0.0000
990,0.0000,0.0000,0.0000,0.0000
1000,0.0000,0.0000,0.0000,0.0000
