WL_nm,Blue,Green,Red,NIR
400,0.0040,0.0040,0.0010,0.0000
410,0.0040,0.0040,0.0010,0.0000
420,0.0040,0.0040,0.0010,0.0000
430,0.0050,0.0040,0.0010,0.0000
440,0.0100,0.0050,0.0010,0.0000
450,0.4730,0.1000,0.0190,0.0020
460,0.9620,0.2040,0.0300,0.0020
470,0.9950,0.2460,0.0290,0.0010
480,1.0000,0.3680,0.0320,0.0000
490,0.9420,0.5140,0.0310,0.0000
500,0.8290,0.6560,0.0280,0.0000
510,0.7120,0.8140,0.0310,0.0010
520,0.5490,0.9380,0.0480,0.0020
530,0.3770,0.9930,0.0670,0.0010
540,0.2850,1.0000,0.0490,0.0010
550,0.2150,0.9740,0.0240,0.0020
560,0.1450,0.9150,0.0210,0.0020
570,0.0960,0.8200,0.0480,0.0020
580,0.0770,0.7110,0.2830,0.0010
590,0.0650,0.5670,0.8170,0.0000
600,0.0560,0.3990,0.9820,0.0000
610,0.0500,0.2570,1.0000,0.0000
620,0.0490,0.1710,0.9800,0.0000
630,0.0530,0.1450,0.9790,0.0010
640,0.0650,0.1240,0.9450,0.0020
650,0.0840,0.1100,0.9190,0.0030
660,0.1070,0.1040,0.8770,0.0030
670,0.1230,0.1140,0.8330,0.0030
680,0.0630,0.0670,0.3970,0.0020
690,0.0000,0.0000,0.0010,0.0000
700,0.0000,0.0000,0.0000,0.0000
710,0.0000,0.0000,0.0000,0.0000
720,0.0000,0.0000,0.0000,0.0000
730,0.0000,0.0000,0.0000,0.0000
740,0.0000,0.0000,0.0000,0.0010
750,0.0000,0.0000,0.0000,0.0070
760,0.0000,0.0000,0.0000,0.1620
770,0.0000,0.0000,0.0000,0.9940
780,0.0000,0.0000,0.0000,1.0000
790,0.0000,0.0000,0.0000,0.9240
800,0.0000,0.0000,0.0000,0.8690
810,0.0000,0.0000,0.0000,0.8140
820,0.0000,0.0000,0.0000,0.7590
830,0.0000,0.0000,0.0000,0.7110
840,0.0000,0.0000,0.0000,0.6560
850,0.0000,0.0000,0.0000,0.6040
860,0.0000,0.0000,0.0000,0.5570
870,0.0000,0.0000,0.0000,0.2390
880,0.0000,0.0000,0.0000,0.0040
890,0.0000,0.0000,0.0000,0.0000
900,0.0000,0.0000,0.0000,0.0000
910,0.0000,0.0000,0.0000,0.0000
920,0.0000,0.0000,0.0000,0.0000
930,0.0000,0.0000,0.0000,0.0000
940,0.0000,0.0000,0.0000,0.0000
950,0.0000,0.0000,0.0000,0.0000
960,0.0000,0.0000,0.0000,0.0000
970,0.0000,0.0000,0.0000,0.0000
980,0.0000,0.0000,0.0000,0.0000
990,0.0000,0.0000,0.0000,0.0000
