WL_nm,CoastalBlue,Blue,Green_i,Green_ii,Yellow,Red,RedEdge,NIR
400,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
401,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
402,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
403,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
404,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
405,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
406,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
407,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
408,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
409,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
410,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
411,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
412,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
413,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
414,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
415,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
416,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
418,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
419,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
420,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
421,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
422,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
423,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
424,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
425,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
426,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
427,0.0002,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
428,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
429,0.0024,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
430,0.0092,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
431,0.0390,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
432,0.1581,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
433,0.4275,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
434,0.7255,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
435,0.8802,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
436,0.9125,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
437,0.9268,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
438,0.9503,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
439,0.9721,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
440,0.9750,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
