nm,Pan,DeepBlue,Blue,Green,Red,RedEdge,NIR
387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
388,0.0,0.0,0.0,0.0,0.0,0.0,0.0
389,0.0,0.0,0.0,0.0,0.0,0.0,0.0
390,0.0,0.0,0.0,0.0,0.0,0.0,0.0
391,0.0,0.0,0.0,0.0,0.0,0.0,0.0
392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
393,0.0,0.125,0.0,0.0,0.0,0.0,0.0
394,0.0,0.25,0.0,0.0,0.0,0.0,0.0
395,0.0,0.375,0.0,0.0,0.0,0.0,0.0
396,0.0,0.5,0.0,0.0,0.0,0.0,0.0
397,0.0,0.625,0.0,0.0,0.0,0.0,0.0
398,0.0,0.75,0.0,0.0,0.0,0.0,0.0
399,0.0,0.875,0.0,0.0,0.0,0.0,0.0
400,0.0,1.0,0.0,0.0,0.0,0.0,0.0
401,0.0,1.0,0.0,0.0,0.0,0.0,0.0
402,0.0,1.0,0.0,0.0,0.0,0.0,0.0
403,0.0,1.0,0.0,0.0,0.0,0.0,0.0
404,0.0,1.0,0.0,0.0,0.0,0.0,0.0
405,0.0,1.0,0.0,0.0,0.0,0.0,0.0
406,0.0,1.0,0.0,0.0,0.0,0.0,0.0
407,0.0,1.0,0.0,0.0,0.0,0.0,0.0
408,0.0,1.0,0.0,0.0,0.0,0.0,0.0
409,0.0,1.0,0.0,0.0,0.0,0.0,0.0
410,0.0,1.0,0.0,0.0,0.0,0.0,0.0
411,0.0,1.0,0.0,0.0,0.0,0.0,0.0
412,0.0,1.0,0.0,0.0,0.0,0.0,0.0
413,0.0,1.0,0.0,0.0,0.0,0.0,0.0
414,0.0,1.0,0.0,0.0,0.0,0.0,0.0
415,0.0,1.0,0.0,0.0,0.0,0.0,0.0
416,0.0,1.0,0.0,0.0,0.0,0.0,0.0
417,0.0,1.0,0.0,0.0,0.0,0.0,0.0
418,0.0,1.0,0.0,0.0,0.0,0.0,0.0
419,0.0,1.0,0.0,0.0,0.0,0.0,0.0
420,0.0,1.0,0.0,0.0,0.0,0.0,0.0
421,0.0,1.0,0.0,0.0,0.0,0.0,0.0
422,0.0,1.0,0.0,0.0,0.0,0.0,0.0
423,0.0,1.0,0.0,0.0,0.0,0.0,0.0
424,0.0,1.0,0.0,0.0,0.0,0.0,0.0
425,0.0,1.0,0.0,0.0,0.0,0.0,0.0
426,0.0,1.0,0.0,0.0,0.0,0.0,0.0
427,0.0,1.0,0.0,0.0,0.0,0.0,0.0
428,0.0,1.0,0.0,0.0,0.0,0.0,0.0
429,0.0,1.0,0.0,0.0,0.0,0.0,0.0
430,0.0,1.0,0.0,0.0,0.0,0.0,0.0
431,0.0,1.0,0.0,0.0,0.0,0.0,0.0
432,0.0,1.0,0.0,0.0,0.0,0.0,0.0
433,0.0,1.0,0.0,0.0,0.0,0.0,0.0
434,0.0,1.0,0.0,0.0,0.0,0.0,0.0
435,0.0,1.0,0.0,0.0,0.0,0.0,0.0
436,0.0,1.0,0.0,0.0,0.0,0.0,0.0
437,0.0,1.0,0.0,0.0,0.0,0.0,0.0
438,0.0,1.0,0.0,0.0,0.0,0.0,0.0
439,0.0,1.0,0.0,0.0,0.0,0.0,0.0
440,0.0,1.0,0.0,0.0,0.0,0.0,0.0
441,0.0,1.0,0.0,0.0,0.0,0.0,0.0
442,0.0,1.0,0.0,0.0,0.0,0.0,0.0
443,0.125,1.0,0.0,0.0,0.0,0.0,0.0
444,0.25,1.0,0.0,0.0,0.0,0.0,0.0
445,0.375,1.0,0.0,0.0,0.0,0.0,0.0
446,0.5,1.0,0.0,0.0,0.0,0.0,0.0
447,0.625,1.0,0.0,0.0,0.0,0.0,0.0
448,0.75,1.0,0.0,0.0,0.0,0.0,0.0
449,0.875,1.0,0.0,0.0,0.0,0.0,0.0
450,1.0,1.0,0.0,0.0,0.0,0.0,0.0
451,1.0,1.0,0.0,0.0,0.0,0.0,0.0
452,1.0,1.0,0.0,0.0,0.0,0.0,0.0
453,1.0,1.0,0.125,0.0,0.0,0.0,0.0
454,1.0,1.0,0.25,0.0,0.0,0.0,0.0
455,1.0,1.0,0.375,0.0,0.0,0.0,0.0
456,1.0,1.0,0.5,0.0,0.0,0.0,0.0
457,1.0,1.0,0.625,0.0,0.0,0.0,0.0
458,1.0,1.0,0.75,0.0,0.0,0.0,0.0
459,1.0,1.0,0.875,0.0,0.0,0.0,0.0
460,1.0,1.0,1.0,0.0,0.0,0.0,0.0
461,1.0,0.875,1.0,0.0,0.0,0.0,0.0
462,1.0,0.75,1.0,0.0,0.0,0.0,0.0
463,1.0,0.625,1.0,0.0,0.0,0.0,0.0
464,1.0,0.5,1.0,0.0,0.0,0.0,0.0
465,1.0,0.375,1.0,0.0,0.0,0.0,0.0
466,1.0,0.25,1.0,0.0,0.0,0.0,0.0
467,1.0,0.125,1.0,0.0,0.0,0.0,0.0
468,1.0,0.0,1.0,0.0,0.0,0.0,0.0
469,1.0,0.0,1.0,0.0,0.0,0.0,0.0
470,1.0,0.0,1.0,0.0,0.0,0.0,0.0
471,1.0,0.0,1.0,0.0,0.0,0.0,0.0
472,1.0,0.0,1.0,0.0,0.0,0.0,0.0
473,1.0,0.0,1.0,0.0,0.0,0.0,0.0
474,1.0,0.0,1.0,0.0,0.0,0.0,0.0
475,1.0,0.0,1.0,0.0,0.0,0.0,0.0
476,1.0,0.0,1.0,0.0,0.0,0.0,0.0
477,1.0,0.0,1.0,0.0,0.0,0.0,0.0
478,1.0,0.0,1.0,0.0,0.0,0.0,0.0
479,1.0,0.0,1.0,0.0,0.0,0.0,0.0
480,1.0,0.0,1.0,0.0,0.0,0.0,0.0
481,1.0,0.0,1.0,0.0,0.0,0.0,0.0
482,1.0,0.0,1.0,0.0,0.0,0.0,0.0
483,1.0,0.0,1.0,0.0,0.0,0.0,0.0
484,1.0,0.0,1.0,0.0,0.0,0.0,0.0
485,1.0,0.0,1.0,0.0,0.0,0.0,0.0
486,1.0,0.0,1.0,0.0,0.0,0.0,0.0
487,1.0,0.0,1.0,0.0,0.0,0.0,0.0
488,1.0,0.0,1.0,0.0,0.0,0.0,0.0
489,1.0,0.0,1.0,0.0,0.0,0.0,0.0
490,1.0,0.0,1.0,0.0,0.0,0.0,0.0
