WL_nm,Blue,Green,Red,RedEdge,NIR
401,0.0015,0.0008,0.0000,0.0000,0.0005
402,0.0007,0.0001,0.0000,0.0000,0.0004
403,0.0004,0.0000,0.0000,0.0000,0.0001
404,0.0000,0.0000,0.0000,0.0000,0.0000
405,0.0000,0.0000,0.0000,0.0000,0.0000
406,0.0000,0.0001,0.0000,0.0000,0.0000
407,0.0000,0.0001,0.0000,0.0001,0.0000
408,0.0000,0.0000,0.0000,0.0000,0.0000
409,0.0001,0.0000,0.0000,0.0000,0.0000
410,0.0000,0.0001,0.0000,0.0000,0.0000
411,0.0000,0.0003,0.0000,0.0000,0.0002
412,0.0000,0.0018,0.0000,0.0000,0.0003
413,0.0000,0.0000,0.0001,0.0000,0.0001
414,0.0000,0.0000,0.0000,0.0000,0.0000
415,0.0000,0.0000,0.0000,0.0000,0.0000
416,0.0000,0.0000,0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,0.0000,0.0000
418,0.0000,0.0000,0.0000,0.0000,0.0000
419,0.0000,0.0000,0.0000,0.0000,0.0000
420,0.0019,0.0000,0.0000,0.0000,0.0000
421,0.0001,0.0000,0.0000,0.0000,0.0000
422,0.0000,0.0000,0.0000,0.0000,0.0000
423,0.0000,0.0000,0.0000,0.0002,0.0000
424,0.0000,0.0007,0.0000,0.0000,0.0001
425,0.0000,0.0002,0.0000,0.0000,0.0000
426,0.0001,0.0000,0.0000,0.0000,0.0000
427,0.0002,0.0000,0.0000,0.0000,0.0000
428,0.0026,0.0000,0.0000,0.0000,0.0000
429,0.0018,0.0001,0.0001,0.0000,0.0001
430,0.0004,0.0005,0.0001,0.0000,0.0001
431,0.0002,0.0005,0.0004,0.0000,0.0001
432,0.0002,0.0001,0.0004,0.0000,0.0001
433,0.0003,0.0000,0.0000,0.0002,0.0001
434,0.0004,0.0000,0.0000,0.0000,0.0001
435,0.0008,0.0000,0.0000,0.0000,0.0001
436,0.0017,0.0001,0.0000,0.0000,0.0001
437,0.0045,0.0004,0.0002,0.0000,0.0001
438,0.0149,0.0005,0.0000,0.0000,0.0000
439,0.0651,0.0003,0.0000,0.0000,0.0000
440,0.3211,0.0002,0.0000,0.0000,0.0000
441,0.6869,0.0003,0.0000,0.0000,0.0000
442,0.7185,0.0002,0.0000,0.0000,0.0000
443,0.7308,0.0001,0.0000,0.0000,0.0000
444,0.7404,0.0000,0.0000,0.0000,0.0000
