WL_nm,Blue,Green,Red,NIR,Pan
350,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
351,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
352,0.0000,-0.0000,-0.0000,-0.0000,-0.0000
353,-0.0000,0.0000,0.0000,-0.0000,0.0000
354,-0.0000,-0.0000,-0.0000,0.0000,0.0000
355,0.0000,-0.0000,0.0000,0.0000,-0.0000
356,-0.0000,0.0000,-0.0000,-0.0000,-0.0000
357,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
358,0.0000,0.0000,0.0000,-0.0000,0.0000
359,-0.0000,-0.0000,-0.0000,0.0000,0.0000
360,0.0000,0.0000,0.0000,0.0000,-0.0000
361,0.0000,0.0000,0.0000,0.0000,0.0000
362,0.0000,0.0000,0.0000,0.0000,0.0000
363,0.0000,0.0000,0.0000,0.0000,0.0000
364,0.0000,0.0000,0.0000,0.0000,-0.0000
365,0.0000,0.0000,0.0000,0.0000,0.0000
366,0.0000,0.0000,0.0000,0.0000,0.0000
367,0.0000,0.0000,0.0000,0.0000,-0.0000
368,0.0000,0.0000,0.0000,0.0000,0.0000
369,0.0000,0.0000,0.0000,0.0000,0.0000
370,0.0000,0.0000,0.0000,0.0000,0.0000
371,0.0000,0.0000,0.0000,0.0000,0.0000
372,0.0000,0.0000,0.0000,0.0000,0.0000
373,0.0000,0.0000,0.0000,0.0000,0.0000
374,0.0000,0.0000,0.0000,0.0000,0.0000
375,-0.0000,0.0000,-0.0000,0.0000,-0.0000
376,0.0000,0.0000,-0.0000,-0.0000,0.0000
377,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
378,-0.0000,-0.0000,-0.0000,0.0000,-0.0000
379,0.0000,0.0000,-0.0000,-0.0000,-0.0000
380,-0.0000,-0.0000,-0.0000,-0.0000,-0.0000
381,-0.0000,0.0000,-0.0000,-0.0000,0.0000
382,-0.0000,-0.0000,-0.0000,-0.0000,0.0000
383,-0.0000,-0.0000,-0.0000,0.0000,0.0000
384,0.0000,0.0000,0.0000,0.0000,0.0000
385,-0.0000,0.0000,0.0000,-0.0000,0.0000
386,-0.0000,0.0000,0.0000,0.0000,0.0000
387,-0.0000,0.0000,0.0000,0.0000,0.0000
388,-0.0000,0.0000,-0.0000,0.0000,0.0000
389,0.0000,0.0000,0.0000,0.0000,0.0000
390,0.0000,0.0000,-0.0000,0.0000,0.0000
391,-0.0000,0.0000,-0.0000,0.0000,0.0000
392,0.0000,0.0000,0.0000,0.0000,0.0000
393,0.0000,-0.0000,-0.0000,0.0000,0.0000
394,0.0000,0.0000,-0.0000,0.0000,0.0000
395,0.0000,-0.0000,-0.0000,0.0000,-0.0000
396,0.0000,0.0000,-0.0000,0.0000,0.0000
397,0.0000,0.0000,-0.0000,0.0000,0.0000
398,0.0000,-0.0000,-0.0000,0.0000,0.0000
399,0.0000,0.0000,0.0000,0.0000,0.0000
400,0.0000,0.0000,-0.0000,0.0000,0.0000
401,0.0000,0.0000,-0.0000,0.0000,0.0000
402,0.0000,0.0000,-0.0000,0.0000,0.0000
403,0.0000,-0.0000,-0.0000,0.0000,0.0000
404,0.0000,-0.0000,-0.0000,0.0000,0.0000
405,0.0000,-0.0000,-0.0000,0.0000,0.0001
406,0.0000,-0.0000,-0.0000,0.0000,0.0000
407,0.0000,0.0000,-0.0000,0.0000,0.0000
408,0.0000,-0.0000,-0.0000,0.0000,0.0001
409,0.0000,-0.0000,-0.0000,0.0000,0.0001
410,0.0000,0.0000,0.0000,0.0000,0.0001
411,0.0001,-0.0000,-0.0000,0.0000,0.0001
412,0.0001,0.0000,0.0000,0.0000,0.0001
413,0.0001,0.0000,0.0000,0.0000,0.0001
414,0.0001,0.0000,-0.0000,-0.0000,0.0000
415,0.0001,0.0000,0.0000,-0.0000,0.0000
416,0.0001,-0.0000,-0.0000,0.0000,0.0000
417,0.0000,0.0000,0.0000,-0.0000,0.0000
418,0.0000,-0.0000,-0.0000,0.0000,0.0000
419,0.0000,-0.0000,-0.0000,0.0000,0.0001
420,0.0000,-0.0000,-0.0000,0.0000,0.0001
421,0.0000,-0.0000,-0.0000,0.0000,0.0001
422,0.0000,-0.0000,0.0000,0.0000,0.0001
423,0.0000,-0.0000,-0.0000,0.0000,0.0001
424,0.0000,0.0000,-0.0000,0.0000,0.0001
425,0.0000,-0.0000,0.0000,0.0000,0.0001
426,0.0000,-0.0000,-0.0000,0.0000,0.0001
427,0.0000,-0.0000,-0.0000,0.0000,0.0002
428,0.0000,-0.0000,-0.0000,0.0000,0.0002
429,0.0000,-0.0000,-0.0000,0.0000,0.0003
430,0.0001,-0.0000,0.0000,0.0000,0.0003
431,0.0001,0.0000,-0.0000,0.0000,0.0003
432,0.0001,-0.0000,-0.0000,0.0000,0.0004
